name,participation_count,points,rank,ai_rank
m3d03d,12,40100,197,
STLCTF,10,40025,198,
La Plateforme_,8,39650,199,
DCC2,3,39550,200,
Cybix,6,39500,201,
CrunchCorps,1,39475,202,
CSTigers,10,39450,203,
Bog Dan,6,39425,204,
Tao Work,1,39425,205,
SchlopCTF,16,39400,206,
Gros'hack,10,39400,207,
Warpnet,6,39350,208,
Alone1nTheDark,1,39325,209,
Frauscher Sensortechnik,2,39250,210,
Pwn’t,8,39250,211,
DekAnamai,11,39150,212,
SKUA,2,38975,213,
Majestic20,12,38675,214,
Parad0Xum,6,38600,215,
PizzaFeijoada,10,38550,216,
EthnicalHackers,6,38550,217,
wanyawanya,4,38525,218,
Speedgoat,12,38500,219,
ctf_b33r_ctf,2,38475,220,
Subscale,6,38450,221,
CaveiraGamingHD,6,38425,222,
Blu3Sun,8,38375,223,
dcua,14,38225,224,
sys_adm1ns,8,38200,225,
BanaN0Nam3,2,37750,226,
CyberSilentUnseen,15,37700,227,
Les Honey'Potes,7,37675,228,
TedGraves,10,37675,229,
NICP,7,37575,230,
upbhack,6,37525,231,
rand0mNam3,1,37525,232,
ARESTeamITA,5,37500,233,
Every Little Hacks,13,37500,234,
0bscuri7y,6,37200,235,
OrangeDEFY,9,37175,236,
ResetSec,11,36950,237,
Cyber Hero,12,36800,238,
Sardinia Len,10,36800,239,
malectrica,12,36725,240,
no!dea,11,36550,241,
SenadsDisciples,6,36525,242,
Fellowship of the Hackers,6,36525,243,
Links,11,36525,244,
Bezbednosni Bećari 2.0,15,36525,245,
AFNOM3,11,36500,246,
Hackagon,10,36500,247,
ICC UH,16,36400,248,
0xPocalypse,2,36200,249,
FEDORAMAN PROJECT,5,36175,250,
NicolePicole,10,36050,251,
NBTeam,1,35950,252,
B33F 50UP,16,35875,253,
Speculatores,9,35650,254,
ETRAID,3,35625,255,
Dekus domain,4,35600,256,
Sopra Steri'hack,10,35600,257,
reign,1,35575,258,
P3R1541 M3R4H,18,35550,259,
DeepThonts,7,35550,260,
BypaSS,12,35550,261,
tartards,5,35550,262,
DSG Jam,2,35550,263,
WeSecure,18,35525,264,
Knightsec,19,35425,265,
UniverSea,1,35350,266,
exp0wn,5,35300,267,
Mission Element 2,7,35250,268,
H7Tex,7,35250,269,
Hacklab,11,35225,270,
ITSEC ASIA TEAM,9,35100,271,
Laniakea,10,34975,272,
Hackappatoi,4,34975,273,
CyberGiraffe,2,34850,274,
UNSW K17 (<= 20),12,34800,275,
CyPeace,9,34750,276,
srkplay,7,34725,277,
CybercopsUA,11,34625,278,
Frog Council,7,34600,279,
UNMSM,2,34600,280,
hakdogslayer,4,34600,281,
H4ck3r_4P3s,10,34600,282,
D1sco$,15,34600,283,
GreenlandDefenders,13,34575,284,
Nekopara,7,34550,285,
theR00ts,16,34550,286,
Cringe4Shell,9,34500,287,
MindCrafters,19,34450,288,
bejs64,6,34450,289,
0xDEAD_BEEF,13,34450,290,
DeathPactBoiz,15,34275,291,
CyPhars,2,34250,292,
UDLAP Hackztecs Reborn,16,34125,293,
One Byte Bandits,18,33975,294,
flag_bot,2,33950,295,
Vag4b0nd,9,33825,296,
Kisonka,1,33825,297,
51st state,4,33775,298,
Lil L3ak,13,33750,299,
Atreyu,15,33750,300,
FZT,4,33725,301,
MindBreakers ESGI,14,33700,302,
No Warranty,18,33675,303,
hardwork3r,4,33675,304,
Black Bauhinia,14,33650,305,
SKY SEC,8,33650,306,
coldboots,4,33650,307,
Cancela,7,33625,308,
Hacker Wizards,6,33400,309,
IronW0lf,8,33325,310,
Hippo-Digital Ltd,3,33300,311,
4n6kween,1,33200,312,
#NAME?,6,33175,313,
CEE YA,11,33150,314,
XploitOverload,1,33100,315,
Lóong Gē 龙哥,15,33000,316,
RumbleInTheJungle,5,32975,317,
thisisapen,7,32950,318,
MQCyberSec'25,16,32900,319,
T23,7,32725,320,
DrewTheCat,1,32700,321,
Corax,4,32675,322,
TheWhiteCircle,5,32675,323,
FireUAI - UFMG,9,32675,324,
Cyber Rangers,8,32650,325,
zoozar,7,32300,326,
k.knock,14,32175,327,
Vorkharium,1,32175,328,
dttua,9,32150,329,
Eldora Attackers,1,32075,330,
Black Blight,6,32025,331,
Nahomies,17,31825,332,
The Chosen,5,31800,333,
Eliminate Uptime,8,31800,334,
Alpaca my bags,6,31750,335,
DIT Security Team,10,31750,336,
Davidpb,1,31750,337,
418s,5,31725,338,
viole(n)t,9,31725,339,
Orbik Cybersecurity,6,31725,340,
Venatores,13,31700,341,
CTFREI - EFREI,19,31675,342,
Bin Chicken Cartel,12,31675,343,
Kerbetoast,5,31650,344,
H-T8,8,31650,345,
HSNeRds,8,31575,346,
Goli Experts,4,31575,347,
HawkSec UNIFEI,16,31550,348,
Fabbrica Pizza,6,31550,349,
Flagsomnia,12,31500,350,
RedTeam-TG,1,31400,351,
Ragtags,3,31325,352,
Warwick Cyber Security Society,13,31300,353,
KlokaIndivider,7,31300,354,
B1tceSn1ga,19,31275,355,
PwnShOIS3ll,15,31275,356,
0teriH4ck,15,31200,357,
dtl,5,31200,358,
42[Brn2hcK],15,31200,359,
Solomon_no_gisho,2,31150,360,
c0rrup73dSp1d3r5,15,31125,361,
HackSmarter,13,31025,362,
notmyproblem,2,31025,363,
Pwnvengers,4,31000,364,
MeetingPostponed,4,30975,365,
EvilBunnyWrote,7,30900,366,
Mammalians Nurturable,9,30850,367,
High Flag Energy,10,30850,368,
